"oczami","76"
"przeciw","76"
"panów","76"
"straszne","76"
"drugiego","76"
"poważnie","76"
"pioruna","76"
"ust","76"
"uff","76"
"piersi","75"
"zabić","75"
"nareszcie","75"
"ogromne","75"
"prezydent","75"
"wyjątkowo","74"
"bogu","74"
"starego","74"
"żadnego","74"
"hiszpanii","74"
"radością","74"
"zapytać","74"
"statku","74"
"jeźdźców","74"
"el","74"
"zdawało","73"
"czegoś","73"
"muszą","73"
"miną","73"
"stała","73"
"powodu","73"
"koniecznie","73"
"ogromną","73"
"zabrał","73"
"obawiać","73"
"ode","73"
"zdziwieniem","73"
"drzewa","73"
"przyjacielem","73"
"rodenstein","73"
"oficerów","73"
"innym","72"
"przyjdzie","72"
"chodźmy","72"
"wejść","72"
"wiadomość","72"
"miasto","72"
"hacjendero","72"
"platen","72"
"środku","71"
"dłużej","71"
"wyjął","71"
"wierzę","71"
"opuścić","71"
"pokój","71"
"jaka","71"
"rękach","71"
"została","71"
"arbelleza","71"
"traper","71"
"górze","70"
"pewne","70"
"usiadł","70"
"krótko","70"
"głośno","70"
"plan","70"
"maria","70"
"rozmowy","70"
"oboje","70"
"elwira","69"
"powie","69"
"minut","69"
"podoba","69"
"któremu","69"
"żadnej","69"
"klucz","69"
"wziąć","69"
"spotkał","69"
"musicie","69"
"doskonale","69"
"fortu","69"
"ów","68"
"prosić","68"
"prosił","68"
"otrzymał","68"
"schodach","68"
"otwarcie","68"
"przyszedł","68"
"jakiego","68"
"pewnego","68"
"myślałem","68"
"słychać","68"
"widzisz","68"
"skinął","68"
"myślisz","68"
"nadal","68"
"pokazać","68"
"myśliwy","68"
"emilia","68"
"drzwiami","67"
"mogłem","67"
"emanuel","67"
"wszystkiego","67"
"kobieta","67"
"zabrać","67"
"okiem","67"
"złapał","67"
"ukryć","67"
"pewnym","67"
"przerażony","67"
"oficerowie","67"
"mość","67"
"hacjenda","67"
"maksymilian","67"
"emir","67"
"spokój","66"
"ramiona","66"
"dama","66"
"służący","66"
"brzmiała","66"
"przeciwnie","66"
"szedł","66"
"chory","66"
"uwagę","66"
"stój","66"
"uważnie","66"
"dziwne","66"
"czeka","66"
"przyznać","66"
"meksykanin","66"
"pytania","66"
"pedro","66"
"południa","65"
"gości","65"
"znajdzie","65"
"drzwiach","65"
"sposobem","65"
"sił","65"
"wiadomości","65"
"prosto","65"
"pokład","65"
"komendant","65"
"kocham","64"
"ostatni","64"
"niczym","64"
"stronie","64"
"opuścił","64"
"zapytany","64"
"drugiej","64"
"źle","64"
"otworzyć","64"
"będziecie","64"
"zbliżył","64"
"uczynił","64"
"czyżby","64"
"oddalił","64"
"uciekł","64"
"wysłał","64"
"towarzyszy","64"
"okrętu","64"
"powrotem","64"
"bramę","64"
"bramy","64"
"wojowników","64"
"pułkownika","64"
"zamiar","63"
"chorego","63"
"nazywam","63"
"koniec","63"
"bądź","63"
"krzyk","63"
"przeciwko","63"
"pieniędzy","63"
"ręku","63"
"znakomicie","63"
"długi","63"
"najlepiej","63"
"zdradzić","63"
"złapać","63"
"dziesięciu","63"
"ostrożnie","63"
"coraz","63"
"oddać","63"
"przyjaciela","63"
"skutek","63"
"lekarzem","62"
"synem","62"
"krew","62"
"każę","62"
"naszej","62"
"żoną","62"
"prędzej","62"
"weszli","62"
"zwłoki","62"
"małe","62"
"uciec","62"
"gotów","62"
"czekał","62"
"obrócił","62"
"miss","62"
"mogło","62"
"vaqueros","62"
"klasztoru","61"
"początku","61"
"część","61"
"cofnął","61"
"zostało","61"
"ostatnie","61"
"silnie","61"
"mógłby","61"
"cisza","61"
"mieście","61"
"tajemnicy","61"
"rąk","61"
"jakiej","61"
"dotarli","61"
"samej","61"
"przybyli","61"
"zechce","61"
"porucznika","61"
"wodza","61"
"generała","61"
"gerarda","61"
"oblicze","60"
"pierwszym","60"
"kasztelan","60"
"dziewczynę","60"
"ramionami","60"
"spotkanie","60"
"ramię","60"
"bronić","60"
"byś","60"
"córki","60"
"ludźmi","60"
"pomoże","60"
"dobre","60"
"musiałem","60"
"złego","60"
"emanuela","60"
"pokładzie","60"
"nowego","60"
"mylę","60"
"ogromnie","60"
"matka","60"
"moguncji","60"
"silny","59"
"hotelu","59"
"poczciwy","59"
"pomysł","59"
"siłą","59"
"odparła","59"
"słusznie","59"
"uważać","59"
"wszelkie","59"
"odszedł","59"
"nieprawdaż","59"
"wówczas","59"
"opowiadał","59"
"kapitanem","59"
"spodziewać","59"
"wina","59"
"podskoczył","59"
"biały","59"
"manfredo","59"
"tyłu","58"
"odejść","58"
"kroków","58"
"nieszczęście","58"
"sądzi","58"
"widząc","58"
"położył","58"
"myślał","58"
"mąż","58"
"znać","58"
"strachu","58"
"czterech","58"
"mieszkańców","58"
"trzymał","58"
"zrozumiał","58"
"boku","58"
"niedawno","57"
"róży","57"
"miłości","57"
"trudno","57"
"pański","57"
"cel","57"
"czynić","57"
"rozkazy","57"
"mógłbym","57"
"idź","57"
"pobiegł","57"
"ubranie","57"
"dziewczyny","57"
"pałacu","57"
"maksymiliana","57"
"łzy","56"
"jechał","56"
"siostra","56"
"potrzeba","56"
"wiedziała","56"
"podróży","56"
"zdania","56"
"najbardziej","56"
"uczynię","56"
"pewien","56"
"zadanie","56"
"same","56"
"uratować","56"
"sir","56"
"choćby","56"
"skierował","55"
"jedzie","55"
"zbladł","55"
"całego","55"
"poczuł","55"
"szepnął","55"
"każdego","55"
"mowy","55"
"celi","55"
"myli","55"
"spotkać","55"
"pojęcia","55"
"krwi","55"
"dole","55"
"potrafi","55"
"strażnik","55"
"liczyć","54"
"wieczór","54"
"wyglądał","54"
"ojcem","54"
"wydaje","54"
"tajemnicę","54"
"ogóle","54"
"córką","54"
"zwracając","54"
"zamknął","54"
"hrabio","54"
"słuchać","54"
"łotr","54"
"zadowolony","54"
"paru","54"
"drugie","54"
"dotarł","54"
"klarysa","53"
"przebywa","53"
"hrabiemu","53"
"krok","53"
"uważa","53"
"wspaniale","53"
"mężczyznę","53"
"mów","53"
"zabrzmiał","53"
"nazwiska","53"
"potrafię","53"
"wołał","53"
"wiemy","53"
"zobaczymy","53"
"wyjechał","53"
"jakiejś","53"
"los","53"
"widzicie","53"
"małego","53"
"nadleśniczy","53"
"norte","53"
"wielkiej","52"
"mówisz","52"
"wygląda","52"
"dalsze","52"
"lesie","52"
"usłyszeli","52"
"byłby","52"
"pozostali","52"
"lorda","52"
"brzeg","52"
"nikomu","52"
"trudem","52"
"pytając","52"
"kraj","52"
"prerii","52"
"momencie","52"
"poczęła","52"
"południe","52"
"walser","52"
"wagner","52"
"pierwszej","51"
"wydał","51"
"lekko","51"
"papier","51"
"czuł","51"
"bratem","51"
"doktorze","51"
"daremnie","51"
"blisko","51"
"ba","51"
"siedzieli","51"
"uważał","51"
"środek","51"
"walki","51"
"dostanie","51"
"ilu","51"
"zza","51"
"jechali","51"
"nań","51"
"pańskiej","51"
"miramon","51"
"jaga","51"
"kocha","50"
"naprzeciw","50"
"stole","50"
"skończył","50"
"pierwsze","50"
"wyszli","50"
"głęboko","50"
"naraz","50"
"wedle","50"
"napaść","50"
"piorunów","50"
"zemsty","50"
"ręka","50"
"szczerze","50"
"misteka","50"
"zamek","49"
"manresy","49"
"odpowiednie","49"
"otwarły","49"
"milczeniu","49"
"dzieje","49"
"sądzisz","49"
"ciągnął","49"
"swymi","49"
"miało","49"
"pismo","49"
"zatrzymać","49"
"milczeć","49"
"spodziewał","49"
"zapukał","49"
"względem","49"
"niecierpliwością","49"
"znaleźli","49"
"godzin","49"
"minę","49"
"robercie","49"
"państwo","49"
"oddział","49"
"sułtana","49"
"zaufać","48"
"słońce","48"
"spokoju","48"
"rodziny","48"
"hrabiankę","48"
"pełne","48"
"wolny","48"
"pozwolić","48"
"zachować","48"
"zginąć","48"
"pójść","48"
"chłopiec","48"
"oficera","48"
"pewny","48"
"podniosła","48"
"piwnicy","48"
"duros","48"
"zdobyć","48"
"pomówić","48"
"nowy","47"
"izby","47"
"hrabianki","47"
"każde","47"
"umrzeć","47"
"przynieść","47"
"rękami","47"
"dumnie","47"
"pozwolę","47"
"idzie","47"
"niemiec","47"
"pójdę","47"
"towarzystwie","47"
"małą","47"
"papiery","47"
"obowiązek","47"
"potrzebuje","47"
"wrócić","47"
"chodźcie","47"
"byłeś","47"
"wtem","47"
"drogą","47"
"landoli","47"
"zdjął","47"
"wybaczyć","47"
"morze","47"
"wodę","47"
"wrogów","47"
"ogień","47"
"żołnierze","47"
"różyczka","46"
"jeździec","46"
"następnie","46"
"abym","46"
"zarazem","46"
"zastał","46"
"własnością","46"
"weszła","46"
"spać","46"
"wielce","46"
"synu","46"
"uwolnić","46"
"wierzyć","46"
"tajemnica","46"
"człowieku","46"
"pozostał","46"
"stamtąd","46"
"zauważyć","46"
"podobny","46"
"dowie","46"
"potrzebne","46"
"nagrodę","46"
"mężczyźni","46"
"zostały","46"
"potrzebował","46"
"zostali","46"
"indianina","46"
"mała","46"
"landolę","46"
"honoru","46"
"strzały","46"
"verdoji","46"
"cesarska","46"
"odpowiedzieć","45"
"wątpię","45"
"las","45"
"uśmiechnął","45"
"żyć","45"
"jakże","45"
"kochana","45"
"każdej","45"
"wypadku","45"
"rozumie","45"
"mieszkania","45"
"zostawić","45"
"swoimi","45"
"lautreville","45"
"tylu","45"
"wyjść","45"
"wszędzie","45"
"godzinie","45"
"porwie","45"
"skarby","44"
"dwadzieścia","44"
"ratunek","44"
"adwokat","44"
"sercu","44"
"przyjąć","44"
"pierś","44"
"grzecznie","44"
"wręcz","44"
"groźnie","44"
"dodatek","44"
"działać","44"
"chłopca","44"
"wyraz","44"
"cieszy","44"
"pewną","44"
"wroga","44"
"minutach","44"
"udowodnić","44"
"nadzwyczaj","44"
"chodziło","44"
"poszli","44"
"pomału","44"
"otwarte","43"
"wyraźnie","43"
"nieznajomy","43"
"przychodzi","43"
"podać","43"
"dowiedziałem","43"
"twoją","43"
"zbadać","43"
"szczególnie","43"
"pańskiego","43"
"ostro","43"
"oddał","43"
"leżała","43"
"rozkazu","43"
"opowiadać","43"
"gardło","43"
"zająć","43"
"służby","43"
"pięciu","43"
"uśmiech","43"
"wydać","43"
"nos","43"
"la","43"
"mieszkańcy","43"
"strasznie","43"
"siedziała","43"
"śladów","43"
"prawdziwy","43"
"stali","43"
"skarb","43"
"ferdynanda","43"
"wodzowie","43"
"major","43"
"pułkowniku","43"
"testament","42"
"piękną","42"
"przyniósł","42"
"działa","42"
"stanęli","42"
"ledwie","42"
"zdanie","42"
"prawdopodobnie","42"
"równocześnie","42"
"wróci","42"
"przyjaciół","42"
"nowo","42"
"spotkania","42"
"ojcu","42"
"szkoda","42"
"dało","42"
"daj","42"
"niby","42"
"zmuszony","42"
"brzmi","42"
"hermoyes","42"
"dwoma","42"
"prawdziwym","42"
"głupstwo","42"
"szczęśliwie","42"
"dobra","42"
"ciemności","42"
"minęło","42"
"wracać","42"
"meksyk","42"
"powiedzcie","42"
"straży","42"
"uwagą","42"
"nowe","42"
"wyszła","42"
"czoła","42"
"pablo","42"
"wojska","42"
"forcie","42"
"spojrzenie","41"
"zaufanie","41"
"mówiła","41"
"przyjść","41"
"rodrigandów","41"
"pozwoli","41"
"żądam","41"
"powoli","41"
"młodego","41"
"sto","41"
"potrzebujemy","41"
"obawy","41"
"osób","41"
"tysiąc","41"
"milczał","41"
"prawdy","41"
"oknie","41"
"skłonił","41"
"kula","41"
"podobno","41"
"daje","41"
"robi","41"
"poznałem","41"
"pojechał","41"
"łóżka","41"
"niedaleko","41"
"wiedzieli","41"
"przyjaciel","41"
"okazji","41"
"dokumenty","41"
"tombi","41"
"seniority","41"
"komanczowie","41"
"pantera","40"
"stanęła","40"
"wyjaśnić","40"
"małym","40"
"świecie","40"
"rozmawiać","40"
"towarzysza","40"
"temat","40"
"uderzył","40"
"sytuacji","40"
"któż","40"
"miały","40"
"krwią","40"
"głosie","40"
"opowiedzieć","40"
"zależy","40"
"słaby","40"
"och","40"
"rozpoczął","40"
"ściany","40"
"naszą","40"
"sprawdzić","40"
"opowiem","40"
"przykład","40"
"popatrz","40"
"barcelony","40"
"cichu","40"
"półgłosem","40"
"pomyślał","40"
"sternika","40"
"drugą","40"
"zaledwie","40"
"kawałek","40"
"więźniów","40"
"powód","40"
"powietrze","40"
"cios","40"
"bracia","40"
"rotmistrza","40"
"mejia","40"
"gościa","39"
"dzieci","39"
"krzesła","39"
"wpadł","39"
"światła","39"
"klucze","39"
"głosu","39"
"części","39"
"badawczo","39"
"lata","39"
"wyszeptał","39"
"powtórnie","39"
"czymś","39"
"napad","39"
"trzej","39"
"słowami","39"
"trzeci","39"
"siedzi","39"
"męża","39"
"chwilą","39"
"żyją","39"
"słońca","39"
"zgoda","39"
"uwagi","39"
"pospieszył","39"
"zemścić","39"
"olsunny","39"
"emmy","39"
"otrzymałem","38"
"galopem","38"
"ciężko","38"
"święta","38"
"schował","38"
"stały","38"
"śmiało","38"
